date,importance,description
2015-01-01,N,Bank Holiday
2015-01-02,L,Final Manufacturing PMI
2015-01-02,H,ISM Manufacturing PMI
2015-01-02,L,Construction Spending m/m
2015-01-02,L,ISM Manufacturing Prices
2015-01-05,M,FOMC Member Williams Speaks
2015-01-05,L,Total Vehicle Sales
2015-01-06,L,Final Services PMI
2015-01-06,H,ISM Services PMI
2015-01-06,M,Factory Orders m/m
2015-01-07,H,ADP Non-Farm Employment Change
2015-01-07,H,Trade Balance
2015-01-07,M,Crude Oil Inventories
2015-01-07,H,FOMC Meeting Minutes
2015-01-07,M,FOMC Member Evans Speaks
2015-01-08,L,Challenger Job Cuts y/y
2015-01-08,H,Unemployment Claims
2015-01-08,L,Natural Gas Storage
2015-01-08,L,Consumer Credit m/m
2015-01-09,H,Non-Farm Employment Change
2015-01-09,H,Unemployment Rate
2015-01-09,M,Average Hourly Earnings m/m
2015-01-09,L,Final Wholesale Inventories m/m
2015-01-09,M,FOMC Member Lacker Speaks
2015-01-12,L,Labor Market Conditions Index m/m
2015-01-12,M,FOMC Member Lockhart Speaks
2015-01-13,L,NFIB Small Business Index
2015-01-13,M,JOLTS Job Openings
2015-01-13,L,RCM/TIPP Economic Optimism
2015-01-13,M,10-y Bond Auction
2015-01-13,L,Federal Budget Balance
2015-01-14,H,Core Retail Sales m/m
2015-01-14,H,Retail Sales m/m
2015-01-14,M,Import Prices m/m
2015-01-14,M,Business Inventories m/m
2015-01-14,M,Crude Oil Inventories
2015-01-14,L,30-y Bond Auction
2015-01-14,L,Beige Book
2015-01-15,H,PPI m/m
2015-01-15,H,Unemployment Claims
2015-01-15,M,Core PPI m/m
2015-01-15,M,Empire State Manufacturing Index
2015-01-15,H,Philly Fed Manufacturing Index
2015-01-15,L,Natural Gas Storage
2015-01-16,H,Core CPI m/m
2015-01-16,H,CPI m/m
2015-01-16,H,CPI y/y
2015-01-16,M,Capacity Utilization Rate
2015-01-16,M,Industrial Production m/m
2015-01-16,H,Prelim UoM Consumer Sentiment
2015-01-16,L,Prelim UoM Inflation Expectations
2015-01-16,M,FOMC Member Williams Speaks
2015-01-16,L,TIC Long-Term Purchases
2015-01-17,M,FOMC Member Lockhart Speaks
2015-01-19,N,Bank Holiday
2015-01-20,M,FOMC Member Powell Speaks
2015-01-20,M,NAHB Housing Market Index
2015-01-20,L,President Obama Speaks
2015-01-21,H,Building Permits
2015-01-21,M,Housing Starts
2015-01-22,H,Unemployment Claims
2015-01-22,L,HPI m/m
2015-01-22,L,Natural Gas Storage
2015-01-22,M,Crude Oil Inventories
2015-01-23,M,Flash Manufacturing PMI
2015-01-23,M,Existing Home Sales
2015-01-23,L,CB Leading Index m/m
2015-01-27,H,Core Durable Goods Orders m/m
2015-01-27,M,Durable Goods Orders m/m
2015-01-27,L,S&P/CS Composite-20 HPI y/y
2015-01-27,L,Flash Services PMI
2015-01-27,L,Richmond Manufacturing Index
2015-01-27,H,CB Consumer Confidence
2015-01-27,H,New Home Sales
2015-01-28,M,Crude Oil Inventories
2015-01-28,H,Federal Funds Rate
2015-01-28,H,FOMC Statement
2015-01-29,H,Unemployment Claims
2015-01-29,M,Pending Home Sales m/m
2015-01-29,L,Natural Gas Storage
2015-01-30,H,Advance GDP q/q
2015-01-30,M,Advance GDP Price Index q/q
2015-01-30,M,Employment Cost Index q/q
2015-01-30,M,Chicago PMI
2015-01-30,M,Revised UoM Consumer Sentiment
2015-01-30,L,Revised UoM Inflation Expectations
2015-02-02,M,Core PCE Price Index m/m
2015-02-02,M,Personal Spending m/m
2015-02-02,L,Personal Income m/m
2015-02-02,L,Final Manufacturing PMI
2015-02-02,H,ISM Manufacturing PMI
2015-02-02,L,Construction Spending m/m
2015-02-02,L,ISM Manufacturing Prices
2015-02-02,L,Loan Officer Survey
2015-02-03,M,Factory Orders m/m
2015-02-03,L,Total Vehicle Sales
2015-02-04,H,ADP Non-Farm Employment Change
2015-02-04,L,Final Services PMI
2015-02-04,H,ISM Services PMI
2015-02-04,M,Crude Oil Inventories
2015-02-05,L,Challenger Job Cuts y/y
2015-02-05,H,Trade Balance
2015-02-05,H,Unemployment Claims
2015-02-05,M,Prelim Nonfarm Productivity q/q
2015-02-05,M,Prelim Unit Labor Costs q/q
2015-02-05,L,Natural Gas Storage
2015-02-06,H,Non-Farm Employment Change
2015-02-06,H,Unemployment Rate
2015-02-06,M,Average Hourly Earnings m/m
2015-02-06,M,FOMC Member Lockhart Speaks
2015-02-06,L,Consumer Credit m/m
2015-02-09,L,Labor Market Conditions Index m/m
2015-02-09,M,FOMC Member Powell Speaks
2015-02-10,M,FOMC Member Lacker Speaks
2015-02-10,L,NFIB Small Business Index
2015-02-10,M,JOLTS Job Openings
2015-02-10,L,Final Wholesale Inventories m/m
2015-02-10,L,RCM/TIPP Economic Optimism
2015-02-11,M,Crude Oil Inventories
2015-02-11,M,10-y Bond Auction
2015-02-11,L,Federal Budget Balance
2015-02-12,H,Core Retail Sales m/m
2015-02-12,H,Retail Sales m/m
2015-02-12,H,Unemployment Claims
2015-02-12,M,Business Inventories m/m
2015-02-12,L,Natural Gas Storage
2015-02-12,L,30-y Bond Auction
2015-02-13,M,Import Prices m/m
2015-02-13,H,Prelim UoM Consumer Sentiment
2015-02-13,L,Prelim UoM Inflation Expectations
2015-02-16,N,Bank Holiday
2015-02-17,M,Empire State Manufacturing Index
2015-02-17,M,NAHB Housing Market Index
2015-02-18,H,Building Permits
2015-02-18,H,PPI m/m
2015-02-18,M,Core PPI m/m
2015-02-18,M,Housing Starts
2015-02-18,M,Capacity Utilization Rate
2015-02-18,M,Industrial Production m/m
2015-02-18,H,FOMC Meeting Minutes
2015-02-18,L,TIC Long-Term Purchases
2015-02-18,M,FOMC Member Powell Speaks
2015-02-19,H,Unemployment Claims
2015-02-19,H,Philly Fed Manufacturing Index
2015-02-19,L,CB Leading Index m/m
2015-02-19,L,Natural Gas Storage
2015-02-19,M,Crude Oil Inventories
2015-02-20,M,Flash Manufacturing PMI
2015-02-23,M,Existing Home Sales
2015-02-24,L,S&P/CS Composite-20 HPI y/y
2015-02-24,L,Flash Services PMI
2015-02-24,L,Richmond Manufacturing Index
2015-02-24,H,CB Consumer Confidence
2015-02-24,H,Fed Chair Yellen Testifies
2015-02-24,L,Fed Monetary Policy Report
2015-02-25,H,Fed Chair Yellen Testifies
2015-02-25,H,New Home Sales
2015-02-25,M,Mortgage Delinquencies
2015-02-25,M,Crude Oil Inventories
2015-02-26,H,Core CPI m/m
2015-02-26,H,CPI m/m
2015-02-26,H,CPI y/y
2015-02-26,H,Unemployment Claims
2015-02-26,M,Core Durable Goods Orders m/m
2015-02-26,L,Durable Goods Orders m/m
2015-02-26,L,HPI m/m
2015-02-26,L,Natural Gas Storage
2015-02-26,M,FOMC Member Lockhart Speaks
2015-02-27,H,Prelim GDP q/q
2015-02-27,L,Prelim GDP Price Index q/q
2015-02-27,M,Chicago PMI
2015-02-27,M,Pending Home Sales m/m
2015-02-27,M,Revised UoM Consumer Sentiment
2015-02-27,L,Revised UoM Inflation Expectations
2015-02-27,M,FOMC Member Dudley Speaks
2015-02-27,M,FOMC Member Fischer Speaks
2015-03-02,M,Core PCE Price Index m/m
2015-03-02,M,Personal Spending m/m
2015-03-02,L,Personal Income m/m
2015-03-02,L,Final Manufacturing PMI
2015-03-02,H,ISM Manufacturing PMI
2015-03-02,L,Construction Spending m/m
2015-03-02,L,ISM Manufacturing Prices
2015-03-03,L,RCM/TIPP Economic Optimism
2015-03-03,L,Total Vehicle Sales
2015-03-03,H,Fed Chair Yellen Speaks
2015-03-04,H,ADP Non-Farm Employment Change
2015-03-04,M,FOMC Member Evans Speaks
2015-03-04,L,Final Services PMI
2015-03-04,H,ISM Services PMI
2015-03-04,M,Crude Oil Inventories
2015-03-04,L,Beige Book
2015-03-05,L,Challenger Job Cuts y/y
2015-03-05,H,Unemployment Claims
2015-03-05,M,Revised Nonfarm Productivity q/q
2015-03-05,L,Revised Unit Labor Costs q/q
2015-03-05,M,Factory Orders m/m
2015-03-05,M,FOMC Member Williams Speaks
2015-03-05,L,Natural Gas Storage
2015-03-05,M,Bank Stress Test Results
