number,value,datetime_start,datetime_complete,duration,params_batch_size,params_fc1_units_critic,params_fc2_units_critic,params_fc3_units_critic,params_lr_actor,params_lr_critic,params_sigma,params_tau_actor,params_tau_critic,params_theta,state
0,-inf,2025-03-24 20:03:32.267761,2025-03-24 20:03:32.905147,0 days 00:00:00.637386,256,512,128,256,0.00013679999580557272,1.4592665823309582e-05,0.423622605304076,0.0011265452427830342,0.00843264250878212,0.18901082788803436,COMPLETE
1,-inf,2025-03-24 20:03:32.906131,2025-03-24 20:03:33.408114,0 days 00:00:00.501983,256,1024,256,64,0.0009978513296327284,1.0755383970883695e-05,0.3960380045856913,0.049436899000086965,0.00017473041711201371,0.054808791902316745,COMPLETE
2,-inf,2025-03-24 20:03:33.409079,2025-03-24 20:03:33.928905,0 days 00:00:00.519826,256,1024,512,64,1.750375936267073e-05,1.0758881704271613e-06,0.423779636666647,0.006802855889180342,0.0007831010049304369,0.1508879278748188,COMPLETE
3,-inf,2025-03-24 20:03:33.929857,2025-03-24 20:03:34.467946,0 days 00:00:00.538089,128,256,256,256,2.714644084651098e-05,3.9897248172624055e-06,0.3278488293848457,0.032611941506912996,0.0059064908798887655,0.09812998145048427,COMPLETE
4,-inf,2025-03-24 20:03:34.468866,2025-03-24 20:03:35.000042,0 days 00:00:00.531176,256,256,256,64,1.8510641693628353e-05,3.330030868860467e-05,0.3738573290178254,0.012887673846520677,0.005370582343497253,0.17382123905593388,COMPLETE
5,-inf,2025-03-24 20:03:35.000942,2025-03-24 20:03:35.526726,0 days 00:00:00.525784,128,1024,128,128,1.571196440359709e-05,3.0202905296390063e-06,0.17764686535962332,0.0044866393691987356,0.005654331782173059,0.07384867871828281,COMPLETE
6,-inf,2025-03-24 20:03:35.527725,2025-03-24 20:03:36.033944,0 days 00:00:00.506219,64,1024,128,256,4.069717106690715e-06,5.901204731994369e-05,0.39309577180546473,0.009140479969638644,0.001557406086077813,0.07163149980213297,COMPLETE
7,-inf,2025-03-24 20:03:36.034935,2025-03-24 20:03:36.531066,0 days 00:00:00.496131,64,1024,128,128,0.0001154931465838805,3.216793367080299e-05,0.4010383591782688,0.0683244336334745,0.002023936591131138,0.06677690824051939,COMPLETE
8,-inf,2025-03-24 20:03:36.532020,2025-03-24 20:03:37.136527,0 days 00:00:00.604507,256,512,512,128,8.157601101286678e-06,1.9700445679757616e-05,0.30688425475753,0.001323895759188965,0.00018225982022598844,0.19866217803951158,COMPLETE
9,-inf,2025-03-24 20:03:37.137489,2025-03-24 20:03:37.685090,0 days 00:00:00.547601,128,1024,256,64,0.0009873088096878648,0.0005483160307540926,0.3478772374703541,0.0020102035967003514,0.0005783767216392852,0.1958573698126726,COMPLETE
10,-inf,2025-03-24 20:03:37.689443,2025-03-24 20:03:38.278401,0 days 00:00:00.588958,256,512,128,256,0.0001594964445576055,0.00015158402053804378,0.48950964190753443,0.0026528627421598997,0.009047799175547138,0.13503709891901747,COMPLETE
11,-inf,2025-03-24 20:03:38.279289,2025-03-24 20:03:38.836773,0 days 00:00:00.557484,256,512,256,64,0.0009505689475609168,8.589875825759251e-06,0.22472889680105881,0.02550994320257856,0.00012256287506713314,0.11640456694191227,COMPLETE
12,-inf,2025-03-24 20:03:38.837784,2025-03-24 20:03:39.430775,0 days 00:00:00.592991,256,512,128,256,0.0001876481770155837,8.967865030245007e-06,0.48570089866340604,0.08764812571103954,0.0003224773607827503,0.157646428492403,COMPLETE
13,-inf,2025-03-24 20:03:39.433124,2025-03-24 20:03:39.994273,0 days 00:00:00.561149,256,512,256,256,0.00035418673947057813,9.896461724133367e-05,0.25987732861555213,0.02194388281497891,0.0025328993497333984,0.10012821982756227,COMPLETE
14,-inf,2025-03-24 20:03:39.997003,2025-03-24 20:03:40.662576,0 days 00:00:00.665573,256,256,512,64,7.500415706813361e-05,1.0605673858964965e-05,0.4509136464718357,0.0010606435834497586,0.00034872677079810963,0.054326209248759666,COMPLETE
15,-inf,2025-03-24 20:03:40.665737,2025-03-24 20:03:41.254211,0 days 00:00:00.588474,64,1024,128,256,0.0003715170261232047,2.243894848087988e-06,0.10631857694947386,0.048390250641888476,0.00122306226249826,0.17272440038400796,COMPLETE
16,-inf,2025-03-24 20:03:41.258184,2025-03-24 20:03:41.871207,0 days 00:00:00.613023,256,512,256,64,1.586948593754126e-06,0.0002132279521467801,0.4451837578479682,0.014636143642404462,0.0031239787485884507,0.09959319833754562,COMPLETE
17,-inf,2025-03-24 20:03:41.872090,2025-03-24 20:03:42.409815,0 days 00:00:00.537725,256,512,128,64,4.790732710095672e-05,1.694353253653266e-05,0.269745451473701,0.004800497241004196,0.0001051550377740913,0.12882622128553353,COMPLETE
18,-inf,2025-03-24 20:03:42.410683,2025-03-24 20:03:42.945634,0 days 00:00:00.534951,128,1024,256,256,0.0004956602395254739,5.25683007532736e-06,0.33903001307531433,0.002942007106750761,0.0003901513903248791,0.051578577576497885,COMPLETE
19,-inf,2025-03-24 20:03:42.946424,2025-03-24 20:03:43.488325,0 days 00:00:00.541901,64,256,512,128,6.364529816873962e-05,1.2972104545745804e-06,0.36854488097906674,0.051803958383857686,0.00020885870277015863,0.0845121959334385,COMPLETE
20,-inf,2025-03-24 20:03:43.489232,2025-03-24 20:03:44.028209,0 days 00:00:00.538977,256,1024,256,256,0.00019415305815424723,0.0009672723068189074,0.44257458406606165,0.018446748144351356,0.0007490310757793617,0.18207815042955602,COMPLETE
21,-inf,2025-03-24 20:03:44.028974,2025-03-24 20:03:44.530412,0 days 00:00:00.501438,256,1024,512,64,6.246059182208479e-06,1.3128803569205714e-06,0.4185363154386008,0.008140168349794356,0.0008675194754728266,0.1443183016422494,COMPLETE
22,-inf,2025-03-24 20:03:44.531292,2025-03-24 20:03:45.033987,0 days 00:00:00.502695,256,1024,512,64,1.0977515508277028e-05,5.712902559457506e-06,0.43349952740018355,0.006425673240753153,0.00020183585038339714,0.15637533046913185,COMPLETE
23,-inf,2025-03-24 20:03:45.034855,2025-03-24 20:03:45.542132,0 days 00:00:00.507277,256,1024,512,64,3.403499397765009e-05,5.4412285829168704e-05,0.46858900368246376,0.0016339337882821465,0.0005907811846198968,0.11794014700035167,COMPLETE
24,-inf,2025-03-24 20:03:45.542961,2025-03-24 20:03:46.085927,0 days 00:00:00.542966,256,1024,512,64,3.907516959658563e-06,2.049373085082211e-06,0.4087781363462505,0.034506511622838985,0.0034599185600952256,0.15580323821630748,COMPLETE
25,-inf,2025-03-24 20:03:46.086868,2025-03-24 20:03:46.650251,0 days 00:00:00.563383,256,512,512,64,0.0005588321420016834,1.4690687159905401e-05,0.3789090370122725,0.003573788040444988,0.0012646960894325248,0.178415809381651,COMPLETE
26,-inf,2025-03-24 20:03:46.652674,2025-03-24 20:03:47.186760,0 days 00:00:00.534086,256,1024,128,64,0.00010039870245901414,2.2067922551229644e-05,0.30368265250571047,0.005980219221962745,0.009306268623038362,0.14445936606281046,COMPLETE
27,-inf,2025-03-24 20:03:47.187578,2025-03-24 20:03:47.738532,0 days 00:00:00.550954,256,1024,512,64,0.0002745273259294213,5.3335587604259626e-05,0.465665864529135,0.002144941620138728,0.00054581672783359,0.16386784798343249,COMPLETE
28,-inf,2025-03-24 20:03:47.739431,2025-03-24 20:03:48.284325,0 days 00:00:00.544894,128,256,128,128,3.7980903799920855e-05,1.0001736431835169e-06,0.4963726257167072,0.011248323370719626,0.00014315207493703386,0.18752288365784722,COMPLETE
29,-inf,2025-03-24 20:03:48.285139,2025-03-24 20:03:48.816475,0 days 00:00:00.531336,64,512,256,256,2.020425010265282e-05,5.006742497604685e-06,0.3532550905817917,0.034498743765001456,0.0002769200282104027,0.11648425554773198,COMPLETE
30,-inf,2025-03-24 20:03:48.822801,2025-03-24 20:03:49.336841,0 days 00:00:00.514040,128,256,256,256,0.0006138466484720161,2.516028870015148e-06,0.3215002476264449,0.016165398968598112,0.0041803576628185275,0.14195001281448769,COMPLETE
31,-inf,2025-03-24 20:03:49.337724,2025-03-24 20:03:49.906726,0 days 00:00:00.569002,128,256,256,256,2.2769054736398412e-05,4.175202887972417e-06,0.38212836638119974,0.03113021689785758,0.006292569712075572,0.09568448299288627,COMPLETE
32,-inf,2025-03-24 20:03:49.907597,2025-03-24 20:03:50.445479,0 days 00:00:00.537882,128,256,256,256,1.3596845668680157e-05,3.645395405659765e-06,0.268457674232962,0.04570516742282105,0.005575299256212795,0.09095043072963051,COMPLETE
33,-inf,2025-03-24 20:03:50.446317,2025-03-24 20:03:50.953460,0 days 00:00:00.507143,128,256,256,256,2.3152192203421447e-05,7.479636874610563e-06,0.4234395556843397,0.0984739976028665,0.007402620034330782,0.0621362701678301,COMPLETE
34,-inf,2025-03-24 20:03:50.954426,2025-03-24 20:03:51.491464,0 days 00:00:00.537038,128,256,256,256,5.261259142330999e-05,1.7837909083127475e-06,0.398793829871108,0.056019817379683506,0.004464172470922778,0.07959079994082469,COMPLETE
35,-inf,2025-03-24 20:03:51.492301,2025-03-24 20:03:52.049867,0 days 00:00:00.557566,256,1024,128,128,9.388901571731767e-05,1.3414883069303034e-05,0.32894253555320907,0.07939624942721502,0.0016234439199146772,0.11073025017688537,COMPLETE
36,-inf,2025-03-24 20:03:52.050703,2025-03-24 20:03:52.588802,0 days 00:00:00.538099,64,1024,256,64,3.256512774028882e-06,2.4133101453741635e-05,0.35806464001255367,0.009104987667982211,0.0020277034610415865,0.07226159755259016,COMPLETE
37,-inf,2025-03-24 20:03:52.589608,2025-03-24 20:03:53.143192,0 days 00:00:00.553584,128,256,128,256,7.937999829835937e-06,3.564983481854738e-05,0.3956661825455116,0.06274844723754266,0.007415538654141245,0.10685895909043147,COMPLETE
38,-inf,2025-03-24 20:03:53.144111,2025-03-24 20:03:53.678774,0 days 00:00:00.534663,256,512,256,128,3.05676877299037e-05,3.331589526823457e-06,0.3743232533742414,0.025953332580313716,0.004289756589882757,0.1693465081826767,COMPLETE
39,-inf,2025-03-24 20:03:53.679648,2025-03-24 20:03:54.235745,0 days 00:00:00.556097,256,1024,128,64,0.00014920926711551704,7.471159293994657e-06,0.17025273234542154,0.012016767226511613,0.0004459321532651539,0.13023144085055915,COMPLETE
